conml,conm,tic,cik,gvkey,Works?
Alexander's Inc.,ALEXANDER'S INC,ALX,0000003499,1257,
Algoma Central Corp,ALGOMA CENTRAL CORP,AGMJF,,1262,
Algoma Steel Group Inc,ALGOMA STEEL GROUP INC,ASTL,0001860805,1263,
Alico Inc,ALICO INC,ALCO,0000003545,1266,
Allegheny Energy Inc.,ALLEGHENY ENERGY INC,AYE,0000003673,1279,
Allen Telecom Inc.,ALLEN TELECOM INC,ALN.2,0000003721,1281,
Honeywell International Inc,HONEYWELL INTERNATIONAL INC,HON,0000773840,1300,
ALLTEL Corp,ALLTEL CORP,AT.2,0000065873,1318,
Skyworks Solutions Inc,SKYWORKS SOLUTIONS INC,SWKS,0000004127,1327,
Alcoa Inc,ALCOA INC,AA.3,,1356,
Sento Corp,SENTO CORP,SNTO,0000004317,1360,
Amcast Industrial Corp,AMCAST INDUSTRIAL CORP,AICOQ,0000027425,1372,
Hess Corp,HESS CORP,HES,0000004447,1380,
Amerco,AMERCO,UHAL,0000004457,1393,
Beam Inc,BEAM INC,BEAM.2,0000789073,1408,
ABM Industries Inc,ABM INDUSTRIES INC,ABM,0000771497,1410,
Primerica Inc,PRIMERICA INC,PRI,0001475922,1414,
US Ecology Inc,US ECOLOGY INC,ECOL,0001783400,1439,
American Electric Power Co Inc,AMERICAN ELECTRIC POWER CO,AEP,0000004904,1440,
American Express Co,AMERICAN EXPRESS CO,AXP,0000004962,1447,
AFLAC Inc,AFLAC INC,AFL,0000004977,1449,
American Greetings Corp.,AMERICAN GREETINGS  -CL A,AM.1,0000005133,1468,
Wyeth,WYETH,WYE,0000005187,1478,
American International Group Inc,AMERICAN INTERNATIONAL GROUP,AIG,0000005272,1487,
American Management Systems Inc.,AMERICAN MANAGEMENT SYSTEMS,AMSY,0001318060,1500,
American Medical Alert Corp,AMERICAN MEDICAL ALERT CORP,AMAC,0000700721,1523,
American Pacific Corp,AMERICAN PACIFIC CORP,APFC,0000350832,1533,
American Physicians Service Group Inc,AMERICAN PHYSICIANS SVC GP,AMPH.1,0000724024,1539,
American Science and Engineering Inc.,AMERICAN SCIENCE ENGINEERING,ASEI,0000005768,1554,
American Shared Hospital Services,AMERICAN SHARED HSPTL SERV,AMS,0000744825,1559,
American Software Inc,AMERICAN SOFTWARE  -CL A,AMSWA,0000713425,1562,
American Technical Ceramics Corp.,AMERICAN TECHNICAL CERAMICS,AMK.2,0000766430,1577,
American Vanguard Corp,AMERICAN VANGUARD CORP,AVD,0000005981,1585,
AMETEK Inc,AMETEK INC,AME,0001037868,1598,
Amgen Inc,AMGEN INC,AMGN,0000318154,1602,
Ampco-Pittsburgh Corp,AMPCO-PITTSBURGH CORP,AP,0000006176,1613,
AmSouth Bancorporation,AMSOUTH BANCORPORATION,ASO.1,0000003133,1619,
Analog Devices Inc,ANALOG DEVICES,ADI,0000006281,1632,
Analogic Corp,ANALOGIC CORP,ALOG,0000006284,1633,
Analysts International Corp,ANALYSTS INTERNATIONAL CORP,ANLY,0000006292,1634,
Anaren Inc,ANAREN INC,ANEN,0000006314,1635,
Andrew Corp,ANDREW CORP,ANDW,0000317093,1651,
Angelica Corp,ANGELICA CORP,AGL.1,0000006571,1655,
Andersons Inc (The),ANDERSONS INC,ANDE,0000821026,1659,
Nabors Industries Ltd,NABORS INDUSTRIES LTD,NBR,0001163739,1661,
K2 Inc.,K2 INC,KTO,0000006720,1677,
APA Corporation,APA CORP,APA,0001841666,1678,
Apogee Enterprises Inc,APOGEE ENTERPRISES INC,APOG,0000006845,1686,
Apple Inc,APPLE INC,AAPL,0000320193,1690,
Applied Materials Inc,APPLIED MATERIALS INC,AMAT,0000006951,1704,
Enerpac Tool Group Corp,ENERPAC TOOL GROUP CORP,EPAC,0000006955,1706,
Trecora Resources,TRECORA RESOURCES,TREC,0000007039,1712,
Archer-Daniels-Midland Co,ARCHER-DANIELS-MIDLAND CO,ADM,0000007084,1722,
ArcBest Corp,ARCBEST CORP,ARCB,0000894405,1743,
Arrow Electronics Inc,ARROW ELECTRONICS INC,ARW,0000007536,1773,
Art's Way Manufacturing Co. Inc,ARTS WAY MFG INC,ARTW,0000007623,1783,
Ashland Global Holdings Inc,ASHLAND GLOBAL HOLDINGS INC,ASH,0001674862,1794,
AstroNova Inc,ASTRONOVA INC,ALOT,0000008146,1820,
Astronics Corp,ASTRONICS CORP,ATRO,0000008063,1823,
Southern Co Gas,SOUTHERN CO GAS,SO7,0001004155,1837,
Atwood Oceanics Inc.,ATWOOD OCEANICS,ATW,0000008411,1860,
Rex American Resources Corp,REX AMERICAN RESOURCES CORP,REX,0000744187,1864,
AUTODESK INC,AUTODESK INC,ADSK,0000769397,1878,
Automatic Data Processing Inc,AUTOMATIC DATA PROCESSING,ADP,0000008670,1891,
DelSite Inc,DELSITE INC,DSIIQ,0000718007,1902,
A V Homes Inc,A V HOMES INC,AVHI.1,0000039677,1906,
Avery Dennison Corp,AVERY DENNISON CORP,AVY,0000008818,1913,
Aviall Inc,AVIALL INC,AVL.1,0000701650,1914,
Avnet Inc,AVNET INC,AVT,0000008858,1919,
Avon Products Inc.,AVON PRODUCTS,AVP,0000008868,1920,
AZZ Inc,AZZ INC,AZZ,0000008947,1926,
Boc Group PLC,BOC GROUP PLC,BOX.1,0000715095,1945,
Brt apartments corp,BRT APARTMENTS CORP,BRT,0000014846,1949,
Badger Meter Inc.,BADGER METER INC,BMI,0000009092,1968,
Baker Hughes Inc,BAKER HUGHES INC,BHI,0000808362,1976,
Balchem Corp,BALCHEM CORP  -CL B,BCPC,0000009326,1979,
Baldor Electric Co,BALDOR ELECTRIC CO,BEZ,0000009342,1981,
Protective Insurance Corp,PROTECTIVE INSURANCE CORP,PTVCB,0000009346,1982,
BALL CORPORATION,BALL CORP,BLL,0000009389,1988,
Constellation Energy Group Inc.,CONSTELLATION ENERGY GRP INC,CEG.1,0001004440,1995,
Bank One Corp,BANK ONE CORP,ONE.1,0001067092,1998,
Popular Inc,POPULAR INC,BPOP,0000763901,2002,
Bank of Hawaii Corp,BANK OF HAWAII CORP,BOH,0000046195,2005,
Bank of New York Mellon Corp (The),BANK OF NEW YORK MELLON CORP,BK,0001390777,2019,
BRE Properties Inc.,BRE PROPERTIES INC,BRE,0001011174,2025,
Banta Corp,BANTA CORP,BN.2,0000009801,2034,
Bard (C.R.) Inc,BARD (C.R.) INC,BCR,0000009892,2044,
Barnes Group Inc,BARNES GROUP INC,B,0000009984,2049,
Barrick Gold Corp,BARRICK GOLD CORP,GOLD,0000756894,2055,
Bausch & Lomb Holdings Inc,BAUSCH & LOMB HLDGS  -REDH,6583B,0001416436,2085,
Baxter International Inc,BAXTER INTERNATIONAL INC,BAX,0000010456,2086,
Applied Industrial Technologies Inc,APPLIED INDUSTRIAL TECH INC,AIT,0000109563,2101,
Becton Dickinson and Co,BECTON DICKINSON & CO,BDX,0000010795,2111,
Bel Fuse Inc.,BEL FUSE INC,BELFB,0000729580,2124,
Belden & Blake Corp,BELDEN & BLAKE CORP,4994B,0000880114,2128,
Verizon Communications Inc,VERIZON COMMUNICATIONS INC,VZ,0000732712,2136,
BCE Inc.,BCE INC,BCE,0000718940,2137,
BellSouth Corp,BELLSOUTH CORP,BLS,0000732713,2146,
Belo Corp.,BELO CORP  -SER A COM,BLC,0000356080,2150,
Bemis Co Inc,BEMIS CO INC,BMS,0000011199,2154,
Benihana Inc,BENIHANA INC,BNHN,0000935226,2163,
Best Buy Co Inc,BEST BUY CO INC,BBY,0000764478,2184,
Beverly Enterprises Inc,BEVERLY ENTERPRISES INC,BEV.1,0001040441,2193,
Bio-Rad Laboratories Inc,BIO-RAD LABORATORIES INC,BIO,0000012208,2220,
Savient Pharmaceuticals Inc,SAVIENT PHARMACEUTICALS INC,SVNTQ,0000722104,2222,
Biomet Inc,BIOMET INC,5938B,0000351346,2230,
Microfluidics International Corp,MICROFLUIDICS INTL CORP,3MFLU,0000723889,2251,
Black & Decker Corp (The),BLACK & DECKER CORP,BDK,0000012355,2255,
Black Hills Corp,BLACK HILLS CORP,BKH,0001130464,2259,
Block H&R Inc,BLOCK H & R INC,HRB,0000012659,2269,
Valaris Ltd,VALARIS LTD,VAL,0000314808,2270,
Bob Evans Farms Inc.,BOB EVANS FARMS,BOBE,0000033769,2282,
Boeing Co,BOEING CO,BA,0000012927,2285,
OfficeMax Inc,OFFICEMAX INC,OMX,0000012978,2290,
CardioDynamics International Corp,CARDIODYNAMICS INTL CORP,CDIC,0000719722,2299,
Robert Half International Inc.,ROBERT HALF INTL INC,RHI,0000315213,2312,
Hexion Inc,HEXION INC,0141A,0000013239,2316,
Resolute Forest Products Inc,RESOLUTE FOREST PRODUCTS INC,RFP,0001393066,2337,
Rexam PLC,REXAM PLC,REXMY,0000013522,2338,
White Electronic Designs Corp,WHITE ELECTRONIC DESIGNS CP,WEDC,0000013606,2345,
Bowne & Co Inc,BOWNE & CO INC,BNE.1,0000013610,2346,
Brady Corp,BRADY CORP,BRC,0000746598,2352,
Brookfield Asset Management Inc,BROOKFIELD ASSET MANAGEMENT,BAM,0001001085,2369,
Briggs & Stratton Corp.,BRIGGS & STRATTON,BGGSQ,0000014195,2393,
Bristol-Myers Squibb Co,BRISTOL-MYERS SQUIBB CO,BMY,0000014272,2403,
Catalyst Paper Corp,CATALYST PAPER CORP,CYSTQ,0001144906,2406,
TELUS Corp,TELUS CORP,TU,0000868675,2408,
BP PLC,BP PLC,BP,0000313807,2410,
BT Group PLC,BT GROUP PLC,BTY10,0000756620,2411,
Brown-Forman Corp,BROWN FORMAN CORP,BF.B,0000014693,2435,
Caleres Inc,CALERES INC,CAL,0000014707,2436,
Brunswick Corp,BRUNSWICK CORP,BC,0000014930,2444,
Materion Corp,MATERION CORP,MTRN,0001104657,2448,
Burlington Coat Factory Investments Holdings Inc,BURLINGTON COAT FACTORY INVS,0015B,0000718916,2484,
MasTec Inc.,MASTEC INC,MTZ,0000015615,2497,
Unisys Corp,UNISYS CORP,UIS,0000746838,2504,
Bush Industries Inc.,BUSH INDUSTRIES  -CL A,BINDQ.1,0000758604,2508,
Butler National Corp,BUTLER NATIONAL CORP,BUKS,0000015847,2519,
CAE Inc.,CAE INC,CAE,0001173382,2526,
Liveramp Holdings Inc,LIVERAMP HOLDINGS INC,RAMP,0000733269,2536,
C-COR Inc,C-COR INC,CCBL,0000350621,2537,
CDI Corp.,CDI CORP,CDI,0000018396,2538,
Cigna Corp,CIGNA CORP,CI,0001739940,2547,
CPI Corp.,CPI CORP,CPICQ,0000025354,2555,
CSS Industries Inc.,CSS INDUSTRIES INC,CSS,0000020629,2556,
CNA Financial Corp,CNA FINANCIAL CORP,CNA,0000021175,2558,
CSP Inc,CSP INC,CSPI,0000356037,2573,
CSX Corp,CSX CORP,CSX,0000277948,2574,
CTS Corp,CTS CORP,CTS,0000026058,2577,
Telos Corp/MD,TELOS CORP/MD,TLS,0000320121,2578,
CVD Equipment Corp,CVD EQUIPMENT CORP,CVV,0000766792,2581,
HealthTronics Inc,HEALTHTRONICS INC,HTRN,0001018871,2589,
Cabot Corp,CABOT CORP,CBT,0000016040,2593,
Cache Inc,CACHE INC,CACH,0000350199,2595,
CACI International Inc,CACI INTL INC  -CL A,CACI,0000016058,2596,
Cadbury PLC,CADBURY PLC,CDSCY,0000744473,2597,
CalAmp Corp,CALAMP CORP,CAMP,0000730255,2615,
Scios Inc,SCIOS INC,SCIO.,0000726512,2616,
MUFG Americas Holdings Corp,MUFG AMERICAS HOLDINGS CORP,0176A,0001011659,2620,
California Water Service Group,CALIFORNIA WATER SERVICE GP,CWT,0001035201,2628,
Campbell Soup Co,CAMPBELL SOUP CO,CPB,0000016732,2663,
O&Y Properties Corp,O & Y PROPERTIES CORP,9887B,0000016754,2665,
Maple Leaf Foods Inc,MAPLE LEAF FOODS INC,MLFNF,0001202643,2675,
Canadian National Railway Co,CANADIAN NATIONAL RAILWAY CO,CNI,0000016868,2696,
Nexen Inc.,NEXEN INC,NXY,0000016873,2697,
Canadian Pacific Railway Ltd,CANADIAN PACIFIC RAILWAY LTD,CP,0000016875,2698,
Canadian Tire Corp Ltd,CANADIAN TIRE CORP  -CL A,CDNAF,,2703,
Constellation Brands Inc,CONSTELLATION BRANDS,STZ,0000016918,2710,
Canon Inc,CANON INC,CAJ,0000016988,2721,
Providian Financial Corp,PROVIDIAN FINANCIAL CORP,PVN,0001035713,2731,
Cardinal Health Inc,CARDINAL HEALTH INC,CAH,0000721371,2751,
Carlisle Cos Inc,CARLISLE COS INC,CSL,0000790051,2771,
Progress Energy Inc.,PROGRESS ENERGY INC,DUK8,0001094093,2783,
Carpenter Technology Corp,CARPENTER TECHNOLOGY CORP,CRS,0000017843,2787,
Cascade Corp,CASCADE CORP,CASC.2,0000018061,2802,
Cascade Natural Gas Corp,CASCADE NATURAL GAS CORP,CGC.2,0000018072,2803,
Casey's General Stores Inc.,CASEYS GENERAL STORES INC,CASY,0000726958,2807,
Castle (A M) & Co,CASTLE (A M) & CO,CTAM,0000018172,2811,
Dole Food Co Inc,DOLE FOOD CO INC,DOLE.1,0000018169,2812,
Caterpillar Inc,CATERPILLAR INC,CAT,0000018230,2817,
Cavco Industries Inc,CAVCO INDUSTRIES INC,CVCO,0000278166,2820,
RF Industries Ltd,R F INDUSTRIES LTD,RFIL,0000740664,2829,
Advanced Battery Technologies Inc,ADVANCED BATTERY TECH INC,ABAT,0000745651,2831,
Centex Corp.,CENTEX CORP,CTX.2,0000018532,2845,
CH Energy Group Inc.,CH ENERGY GROUP INC,CHG.2,0001061393,2856,
Cleco Corp,CLECO CORP,CNL,0001089819,2859,
Lumen Technologies Inc,LUMEN TECHNOLOGIES INC,LUMN,0000018926,2884,
Ceradyne Inc,CERADYNE INC,CRDN,0000018937,2888,
Champion Enterprises Inc.,CHAMPION ENTERPRISES INC,CJHBQ,0000814068,2916,
Charming Shoppes Inc,CHARMING SHOPPES INC,CHRS.1,0000019353,2938,
Magellan Health Inc,MAGELLAN HEALTH INC,MGLN,0000019411,2940,
Cantel Medical Corp,CANTEL MEDICAL CORP,CMD,0000019446,2942,
Chattem Inc,CHATTEM INC,CHTT,0000019520,2950,
Delphax Technologies Inc,DELPHAX TECHNOLOGIES INC,DLPX,0000350692,2951,
Checkpoint Systems Inc,CHECKPOINT SYSTEMS INC,CKP,0000215419,2953,
Chemed Corp,CHEMED CORP,CHE,0000019584,2960,
JPMorgan Chase & Co,JPMORGAN CHASE & CO,JPM,0000019617,2968,
Chesapeake Corp.,CHESAPEAKE CORP,CSKEQ,0000019731,2982,
Chesapeake Utilities Corp.,CHESAPEAKE UTILITIES CORP,CPK,0000019745,2986,
Celsion Corp,CELSION CORP,CLSN,0000749647,2990,
Chevron Corp,CHEVRON CORP,CVX,0000093410,2991,
Brinker International Inc.,BRINKER INTL INC,EAT,0000703351,3007,
Chiron Corp,CHIRON CORP,CHIR.1,0000706539,3011,
Chubb Corp,CHUBB CORP,CB.1,0000020171,3024,
Church & Dwight Co Inc,CHURCH & DWIGHT INC,CHD,0000313927,3026,
Churchill Downs Inc,CHURCHILL DOWNS INC,CHDN,0000020212,3028,
Cincinnati Bell Inc,CINCINNATI BELL INC,CBB,0000716133,3036,
Cintas Corp,CINTAS CORP,CTAS,0000723254,3062,
Mandalay Resort Group,MANDALAY RESORT GROUP,MBG.2,0000725549,3063,
City National Corp,CITY NATIONAL CORP,CYN.1,0000201461,3082,
Claire's Stores Inc.,CLAIRES STORES INC,CLE,0000034115,3087,
CLARCOR Inc.,CLARCOR INC,CLC,0000020740,3093,
Clayton Homes Inc.,CLAYTON HOMES INC,CMH,0000719547,3103,
iHeartMedia Inc,IHEARTMEDIA INC,IHRT,0001400891,3105,
Cleveland-Cliffs Inc,CLEVELAND-CLIFFS INC,CLF,0000764065,3107,
NTELOS Inc,NTELOS INC,3NTLOQ,0000829676,3114,
Clorox Co (The),CLOROX CO/DE,CLX,0000021076,3121,
All American Group Inc,ALL AMERICAN GROUP INC,COHM,0000021212,3126,
Coca-Cola Co (The),COCA-COLA CO,KO,0000021344,3144,
Coeur Mining Inc,COEUR MINING INC,CDE,0000215466,3153,
Coherent Inc,COHERENT INC,COHR,0000021510,3157,
Cohu Inc,COHU INC,COHU,0000021535,3158,
OncoMed Pharmaceuticals Inc,ONCOMED PHARMACEUTICALS,OMED,0001302573,3169,
Colgate-Palmolive Co,COLGATE-PALMOLIVE CO,CL,0000021665,3170,
Oscient Pharmaceuticals Corp,OSCIENT PHARMACEUTICALS CORP,OSCIQ,0000356830,3171,
COMARCO Inc,COMARCO INC,CMRO,0000022252,3218,
Aon plc,AON PLC,AON,0000315293,3221,
Comcast Corp,COMCAST CORP,CMCSA,0001166691,3226,
Comerica Incorporated,COMERICA INC,CMA,0000028412,3231,
Citigroup Inc,CITIGROUP INC,C,0000831001,3243,
Commercial Metals Co,COMMERCIAL METALS,CMC,0000022444,3246,
Avis Budget Group Inc,AVIS BUDGET GROUP INC,CAR,0000723612,3278,
CompuDyne Corp,COMPUDYNE CORP,CDCY,0000022912,3297,
CA Inc,CA INC,CA,0000356028,3310,
Artesyn Technologies Inc.,ARTESYN TECHNOLOGIES INC,ATSN,0000023071,3333,
DXC Technology Co,DXC TECHNOLOGY CO,DXC,0001688568,3336,
Computer Task Group Inc,COMPUTER TASK GROUP INC,CTG,0000023111,3342,
Comtech Telecommunications Corp.,COMTECH TELECOMMUN,CMTL,0000023197,3358,
Conagra Brands Inc,CONAGRA BRANDS INC,CAG,0000023217,3362,
Concord EFS Inc.,CONCORD EFS INC,CE.2,0000740112,3373,
CT Communications Inc,CT COMMUNICATIONS INC,CTCI,0000023259,3376,
Shutterstock Inc,SHUTTERSTOCK INC,SSTK,0001549346,3382,
Tarragon Corp,TARRAGON CORP,TARRQ,0001038217,3407,
Con-Way Inc,CON-WAY INC,CNW,0000023675,3416,
Biglari Holdings Inc,BIGLARI HOLDINGS INC,BH,0001726173,3424,
CTO Realty Growth Inc,CTO REALTY GROWTH INC,CTO,0000023795,3429,
CMS Energy Corp,CMS ENERGY CORP,CMS,0000811156,3439,
Continental Resources Inc,CONTINENTAL RESOURCES INC,CLR,0000732834,3469,
Ceridian Corp,CERIDIAN CORP,4622B,0001124887,3480,
Cooper Industries Plc,COOPER INDUSTRIES PLC,CBE,0001141982,3497,
Cooper Tire & Rubber Co,COOPER TIRE & RUBBER CO,CTB,0000024491,3502,
Cooper Cos Inc (The),COOPER COS INC (THE),COO,0000711404,3504,
Molson Coors Beverage Company,MOLSON COORS BEVERAGE CO,TAP,0000024545,3505,
Corby Spirit and Wine Ltd,CORBY SPIRIT AND WINE LTD,CBYDF,,3516,
Corning Inc,CORNING INC,GLW,0000024741,3532,
Canada Bread Co Ltd,CANADA BREAD CO LTD,CBDLF,,3538,
Countrywide Financial Corp,COUNTRYWIDE FINANCIAL CORP,CFC.3,0000025191,3555,
Courier Corp,COURIER CORP,CRRC,0000025212,3556,
Cousins Properties Incorporated,COUSINS PROPERTIES INC,CUZ,0000025232,3562,
Cracker Barrel Old Country Store Inc,CRACKER BARREL OLD CTRY STOR,CBRL,0001067294,3570,
Crane Co.,CRANE CO,CR,0000025445,3580,
Crawford & Co,CRAWFORD & CO,CRD.A,0000025475,3581,
OneMain Holdings Inc,ONEMAIN HOLDINGS INC,OMF,0001584207,3592,
Chemtura Corp,CHEMTURA CORP,CHMT.,0001091862,3607,
Crown Holdings Inc,CROWN HOLDINGS INC,CCK,0001219601,3619,
Crown Crafts Inc,CROWN CRAFTS INC,CRWS,0000025895,3622,
Cubic Corp,CUBIC CORP,CUB,0000026076,3639,
Cullen/Frost Bankers Inc,CULLEN/FROST BANKERS INC,CFR,0000039263,3643,
Culp Inc.,CULP INC,CULP,0000723603,3647,
Cummins Inc.,CUMMINS INC,CMI,0000026172,3650,
Curtiss-Wright Corp,CURTISS-WRIGHT CORP,CW,0000026324,3662,
DST Systems Inc.,DST SYSTEMS INC,DST,0000714603,3707,
Wendy's Co,WENDY'S CO,WEN,0000030697,3708,
Sensytech Inc,SENSYTECH INC,STST.,,3711,
Dana Inc,DANA INC,DAN,0000026780,3734,
Danaher Corp,DANAHER CORP,DHR,0000313616,3735,
Data I/O Corp,DATA I/O CORP,DAIO,0000351998,3761,
Inrange Technologies Corp,INRANGE TECHNOLOGIES CORP,INRG,0001114674,3769,
Datascope Corp,DATASCOPE CORP,DSCP,0000027096,3786,
Dawson Geophysical Co,DAWSON GEOPHYSICAL CO,DWSN,0000799165,3806,
Target Corp,TARGET CORP,TGT,0000027419,3813,
DPL Inc.,DPL INC,AES5,0000787250,3814,
Viewtran Group Inc,VIEWTRAN GROUP INC,VIEWF,0001519380,3820,
Deb Shops Inc,DEB SHOPS INC,DEBS,0000715779,3824,
DEERE & COMPANY,DEERE & CO,DE,0000315189,3835,
Delta Air Lines Inc,DELTA AIR LINES INC,DAL,0000027904,3851,
Deluxe Corp,DELUXE CORP,DLX,0000027996,3863,
DTE Energy Co,DTE ENERGY CO,DTE,0000936340,3897,
Adtalem Global Education Inc,ADTALEM GLOBAL EDUCATION INC,ATGE,0000730464,3905,
Diagnostic Products Corp,DIAGNOSTIC PRODUCTS CORP,DP,0000702259,3917,
DRS Technologies Inc.,DRS TECHNOLOGIES INC,DRS.1,0000028630,3918,
Old Holdco Inc,PYXUS INTERNATIONAL INC,PYYX,0000939930,3937,
Diebold Nixdorf Inc,DIEBOLD NIXDORF INC,DBD,0000028823,3946,
Veritas DGC Inc.,VERITAS DGC INC,VTS,0000028866,3949,
Nortech Systems Inc,NORTECH SYSTEMS INC,NSYS,0000722313,3962,
Dillard's Inc.,DILLARDS INC  -CL A,DDS,0000028917,3964,
Diodes Inc,DIODES INC,DIOD,0000029002,3969,
Dionex Corp,DIONEX CORP,DNEX,0000708850,3971,
Walt Disney Co (The),DISNEY (WALT) CO,DIS,0001744489,3980,
Dixie Group Inc (The),DIXIE GROUP INC,DXYN,0000029332,4001,
Dollar General Corporation,DOLLAR GENERAL CORP,DG,0000029534,4016,
Western Forest Products Inc,WESTERN FOREST PRODUCTS INC,WFSTF,0001299951,4019,
Dominion Energy Inc,DOMINION ENERGY INC,D,0000715957,4029,
Domtar Inc.,DOMTAR INC,DTC.,0000819817,4034,
Donaldson Co Inc.,DONALDSON CO INC,DCI,0000029644,4036,
R.R. Donnelley & Sons Co,DONNELLEY (R R) & SONS CO,RRD,0000029669,4040,
Dover Corp,DOVER CORP,DOV,0000029905,4058,
DuPont  De Nemours Inc,DUPONT DE NEMOURS INC,DD,0001666700,4060,
Dow Jones and Co Inc.,DOW JONES & CO INC,DJ,0000029924,4062,
Downey Financial Corp,DOWNEY FINANCIAL CORP,DWNFQ,0000935063,4065,
Omnicom Group Inc,OMNICOM GROUP INC,OMC,0000029989,4066,
Ascena Retail Group Inc,ASCENA RETAIL GROUP INC,ASNAQ,0001498301,4072,
Lasercard Corp,LASERCARD CORP,LCRD,0000030140,4077,
Dreyer's Grand Ice Cream Holdings Inc.,DREYER'S GRAND ICE CRM HLDGS,DRYR,0001189712,4078,
E. I. du Pont de Nemours and Co,DU PONT (E I) DE NEMOURS,DD.2,0000030554,4087,
ALCO Stores Inc,ALCO STORES INC,ALCSQ,0000030302,4090,
Ducommun Inc,DUCOMMUN INC,DCO,0000030305,4091,
Duke Energy Corp,DUKE ENERGY CORP,DUK,0001326160,4093,
Dun & Bradstreet Corp (The),DUN & BRADSTREET HOLDNGS INC,DNB,0001799208,4094,
Duquesne Light Holdings Inc,DUQUESNE LIGHT HOLDINGS INC,DQE,0000846930,4103,
Flowserve Corp.,FLOWSERVE CORP,FLS,0000030625,4108,
Dycom Industries Inc.,DYCOM INDUSTRIES INC,DY,0000067215,4115,
Dynatronics Corp,DYNATRONICS CORP,DYNT,0000720875,4124,
Dynamics Research Corp,DYNAMICS RESEARCH CORP,DRCO.,0000030822,4127,
Cobra Electronics Corp,COBRA ELECTRONICS CORP,COBR,0000030828,4128,
Dynasil Corp Of America,DYNASIL CORP OF AMERICA,DYSL,0000030831,4130,
Acterna Corp,ACTERNA CORP,3ACTRQ,0000030841,4132,
ECI Telecom Ltd,ECI TELECOMMUNICATIONS  -ORD,ECIL,0000701544,4140,
PerkinElmer Inc.,PERKINELMER INC,PKI,0000031791,4145,
Supreme Industries Inc.,SUPREME INDUSTRIES INC,STS,0000350846,4156,
E-Z-EM Inc,E-Z-EM INC,EZEM,0000727008,4162,
Eastern Co (The),EASTERN CO,EML,0000031107,4186,
EastGroup Properties Inc.,EASTGROUP PROPERTIES,EGP,0000049600,4193,
Eastman Kodak Co,EASTMAN KODAK CO,KODK,0000031235,4194,
Eaton Corp Plc,EATON CORP PLC,ETN,0001551182,4199,
Eaton Vance Corp.,EATON VANCE CORP,EV,0000350797,4201,
Ecolab Inc.,ECOLAB INC,ECL,0000031462,4213,
Educational Development Corp,EDUCATIONAL DEVELOPMENT CORP,EDUC,0000031667,4225,
El Paso Electric Co,EL PASO ELECTRIC CO,EE.2,0000031978,4241,
El Paso Corp,EL PASO CORP,EP.1,0001066107,4242,
Elan Corp PLC,ELAN CORP PLC,ELN,0000737572,4245,
ElkCorp,ELKCORP,ELK,0000032017,4251,
Electro Scientific Industries Inc,ELECTRO SCIENTIFIC INDS INC,ESIO,0000726514,4274,
Elron Ventures Ltd,ELRON VENTURES LTD,ELRNF,0000315126,4311,
Emerson Electric Co.,EMERSON ELECTRIC CO,EMR,0000032604,4321,
